CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8843802,2019,2019-05-06,3711,2019-04-02,1452,7873,"SAN D",2,5,7,3711,0,0,0,,0,524,"4TH AV","B ST",25.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,04,21703,,M,C,G,A,A,H,-,A,A,0,,Y,,,Y,Y,-,99,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.16107940673828,32.717857360839844
8867339,2019,2019-07-17,3711,2019-06-07,1331,SD7469,,5,5,7,3711,0,0,0,,0,528,"W HATHORN ST","STATE ST",0.00,,Y,-,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,21453,A,N,-,-,A,-,-,-,-,-,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.16803741455078,32.726829528808594
8872492,2019,2019-06-07,3711,2019-05-27,1936,7523,SOUTH,1,5,7,3711,0,0,0,,0,438,"DEAUVILLE ST",SHAW,28.00,S,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,09,21804,A,N,D,G,A,A,H,-,B,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.06532287597656,32.67340087890625
8913288,2019,2019-09-04,3711,2019-07-22,1700,SD7532,,1,5,7,3711,0,0,0,,0,122,"LAW ST","OCEAN BL",0.00,,-,B,-,N,,,,,,,,,,N,3,0,1,2,A,-,09,21804,A,N,B,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.25888061523438,32.801769256591797
9182580,2020,2020-12-01,3711,2020-09-03,0610,SD5600,,4,5,7,3711,0,0,0,,0,529,"WEST IVY ST","WEST IVY ST 500",0.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,B,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.16733551025391,32.728141784667969
9322410,2021,2021-11-02,3711,2021-09-14,0717,SD7976,,2,5,7,3711,0,0,0,,0,312,"TIERRASANTA BL","TIERRASANTA BL 11233",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,D,-,00,,,N,G,G,A,A,H,-,A,D,0,,Y,,,Y,,-,"- ",0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.10418701171875,32.823394775390625
9336372,2021,2021-10-19,3711,2021-09-11,1200,SD7237,,6,5,7,3711,0,0,0,,0,123,"FIESTA ISLAND RD","HALF LOOP",688.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",,
8536511,2018,2018-01-23,3711,2018-01-03,1237,7169,,3,5,7,3711,0,0,0,,0,821,"EL CAJON BL","68TH ST",3.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,05,21650,,N,A,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.05148315429688,32.768638610839844
8688576,2018,2018-10-02,3711,2018-06-14,2026,7446,,4,5,7,3711,0,0,0,,0,721,"SATURN BL","PALM AV",3.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,21453,A,N,G,G,A,A,H,-,C,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.09262847900391,32.583740234375
8967385,2019,2019-11-01,3711,2019-10-13,1813,SD7386,,7,5,7,3711,0,0,0,,0,521,"IMPERIAL AV",13TH,0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,09,21802,A,F,D,G,A,A,H,-,C,A,0,,Y,,,Y,Y,A,01,1,0,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.15277099609375,32.706279754638672
