CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8843802,2,1,4,M,60,6,1,P,V,3,"SAN DIEGO","SAN DIEGO",2019
8867339,1,1,4,M,32,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8872492,1,1,4,M,10,6,0,P,W,0,"SAN DIEGO","SAN DIEGO",2019
8913288,2,1,4,M,78,3,1,M,V,0,"SAN DIEGO","SAN DIEGO",2019
9182580,1,1,4,M,27,2,1,P,V,1,"SAN DIEGO","SAN DIEGO",2020
9322410,1,1,4,M,85,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2021
9336372,1,1,2,F,58,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2021
9336372,2,1,4,M,19,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2021
8536511,1,1,4,-,44,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8536511,2,1,2,F,69,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8688576,1,1,4,-,50,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8967385,2,1,4,M,39,2,9,-,-,0,"SAN DIEGO","SAN DIEGO",2019
9036470,1,1,4,M,63,2,1,P,A,1,"SAN DIEGO","SAN DIEGO",2020
9370062,2,1,4,M,28,3,1,P,A,1,"SAN DIEGO","SAN DIEGO",2021
8748017,2,1,4,M,50,4,1,-,P,0,"SAN DIEGO","SAN DIEGO",2018
8806872,1,1,4,M,11,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8869229,1,1,4,M,38,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2019
9173316,1,1,4,M,68,3,-,-,-,0,"SAN DIEGO","SAN DIEGO",2020
9199955,2,1,4,M,39,4,1,-,V,-,"SAN DIEGO","SAN DIEGO",2020
9222772,1,1,4,M,24,3,1,N,W,0,"SAN DIEGO","SAN DIEGO",2021
9291167,1,1,2,M,59,0,3,M,H,0,"SAN DIEGO","SAN DIEGO",2021
9291167,2,1,4,F,26,3,1,M,A,0,"SAN DIEGO","SAN DIEGO",2021
9494144,1,1,4,M,25,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2022
8767179,1,1,4,M,44,4,9,P,V,0,"SAN DIEGO","SAN DIEGO",2018
8778244,1,1,4,M,63,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2019
9084266,1,1,4,F,34,4,-,-,-,-,"SAN DIEGO","SAN DIEGO",2020
9459969,1,1,4,M,34,3,1,P,V,-,"SAN DIEGO","SAN DIEGO",2022
9459969,2,1,2,F,11,0,3,M,F,-,"SAN DIEGO","SAN DIEGO",2022
9459969,2,2,2,F,14,0,6,M,G,-,"SAN DIEGO","SAN DIEGO",2022
8937746,2,1,4,F,34,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
9302355,2,1,4,M,34,3,0,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9326753,2,1,1,M,41,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2021
9443649,1,1,4,M,56,3,1,P,A,0,"SAN DIEGO","SAN DIEGO",2022
9443649,2,1,3,F,46,4,-,-,-,-,"SAN DIEGO","SAN DIEGO",2022
8584443,1,1,4,M,64,3,0,P,-,3,"SAN DIEGO","SAN DIEGO",2018
8685186,2,1,4,M,42,3,0,P,W,0,"SAN DIEGO","SAN DIEGO",2018
8707798,2,1,4,M,70,4,1,P,V,2,"SAN DIEGO","SAN DIEGO",2018
8800378,1,1,4,M,59,6,9,-,-,3,"SAN DIEGO","SAN DIEGO",2019
8986523,1,1,4,M,24,3,1,P,V,2,"SAN DIEGO","SAN DIEGO",2019
8986523,2,1,2,F,17,0,6,P,G,0,"SAN DIEGO","SAN DIEGO",2019
8986523,2,2,2,F,17,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2019
8986523,2,3,2,M,17,0,4,P,G,3,"SAN DIEGO","SAN DIEGO",2019
9043971,1,1,4,M,19,4,9,W,-,3,"SAN DIEGO","SAN DIEGO",2020
9297304,1,1,4,M,33,2,1,P,A,1,"SAN DIEGO","SAN DIEGO",2021
9440715,1,1,4,M,33,4,1,N,A,1,"SAN DIEGO","SAN DIEGO",2022
9507278,1,1,4,M,22,3,1,P,V,-,"SAN DIEGO","SAN DIEGO",2022
8939288,1,1,4,M,48,1,2,P,V,1,"SAN DIEGO","SAN DIEGO",2019
9227008,1,1,2,F,22,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2021
9227008,2,1,4,M,40,4,0,N,W,0,"SAN DIEGO","SAN DIEGO",2021
9283770,1,1,4,M,35,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2021
9392193,1,1,4,F,18,3,1,M,W,1,"SAN DIEGO","SAN DIEGO",2022
9440474,1,1,4,M,27,4,1,W,-,1,"SAN DIEGO","SAN DIEGO",2022
8649264,1,1,2,F,40,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8649264,1,2,2,F,22,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8649264,1,3,2,-,998,0,4,M,G,0,"SAN DIEGO","SAN DIEGO",2018
8649264,2,1,4,F,45,6,1,P,-,1,"SAN DIEGO","SAN DIEGO",2018
8707810,1,1,4,M,54,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2018
8707810,2,1,2,F,61,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2018
9174993,1,1,4,M,30,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2020
9174993,2,1,2,M,13,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2020
9174993,2,2,2,M,8,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2020
9248574,1,1,4,M,45,4,-,-,-,-,"SAN DIEGO","SAN DIEGO",2021
9248574,2,1,2,F,54,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2021
9248574,2,2,2,M,17,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2021
